retailer_id,territory_id,state,district,tehsil,sales_demand_score,stock_alert_score,last_visit_gap_score,product_relevance_score,grower_engagement_score,visit_priority_score,priority_level,recommended_product,recommended_action,explanation
RTL_02898,TER_0368,Maharashtra,Jalgaon,Jalgaon_T114,32.49651324965133,91.44021739130434,100.0,54.109589041095894,12.5,61.97544667888587,High,Vertimec 1.8 EC,Visit retailer urgently and discuss restocking of Vertimec 1.8 EC.,Current retailer stock is low | This area has not been visited recently
RTL_03887,TER_0486,Gujarat,Rajkot,Rajkot_T117,32.357043235704325,90.76086956521739,100.0,63.6986301369863,0.0,61.95212488256359,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently
RTL_00681,TER_0087,Madhya Pradesh,Ujjain,Ujjain_T026,32.77545327754533,88.72282608695652,100.0,63.35616438356164,3.571428571428571,61.873910019679826,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Current retailer stock is low | This area has not been visited recently
RTL_02942,TER_0373,Rajasthan,Sikar,Sikar_T114,43.23570432357043,81.11413043478261,98.11320754716981,30.82191780821918,38.69047619047619,61.364220705481245,High,Cruiser 350 FS,Visit retailer urgently and discuss restocking of Cruiser 350 FS.,Current retailer stock is low | This area has not been visited recently
RTL_02508,TER_0317,Rajasthan,Jaipur,Jaipur_T091,42.398884239888424,73.5054347826087,100.0,65.06849315068493,3.571428571428571,61.2134407973643,High,Alto 5 SC,Visit retailer urgently and discuss restocking of Alto 5 SC.,Current retailer stock is low | This area has not been visited recently
RTL_02789,TER_0354,Gujarat,Rajkot,Rajkot_T090,31.101813110181308,86.68478260869566,98.11320754716981,68.15068493150685,1.7857142857142856,61.02555526295973,High,Score 250 EC,Visit retailer urgently and discuss restocking of Score 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_00874,TER_0110,Madhya Pradesh,Sehore,Sehore_T039,23.291492329149232,94.70108695652173,66.0377358490566,53.42465753424658,91.07142857142857,60.991108094966364,High,Score 250 EC,Visit retailer urgently and discuss restocking of Score 250 EC.,Current retailer stock is low | Nearby grower engagement is high
RTL_02403,TER_0303,Uttar Pradesh,Lucknow,Lucknow_T110,33.054393305439326,98.6413043478261,100.0,34.93150684931507,7.142857142857142,60.5306558202713,High,Cruiser 350 FS,Visit retailer urgently and discuss restocking of Cruiser 350 FS.,Current retailer stock is low | This area has not been visited recently
RTL_00370,TER_0048,Maharashtra,Akola,Akola_T024,32.77545327754533,80.70652173913044,100.0,68.15068493150685,0.0,60.23186915777224,High,Tilt 250 EC,Visit retailer urgently and discuss restocking of Tilt 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_02162,TER_0273,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T090,16.736401673640167,92.93478260869566,100.0,36.986301369863014,63.09523809523808,60.11208516926922,High,Vertimec 1.8 EC,Visit retailer urgently and discuss restocking of Vertimec 1.8 EC.,Current retailer stock is low | This area has not been visited recently
RTL_01433,TER_0180,Maharashtra,Akola,Akola_T063,16.736401673640167,96.73913043478261,100.0,29.45205479452055,63.09523809523808,59.9330351394896,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently
RTL_02732,TER_0347,Maharashtra,Amravati,Amravati_T104,27.615062761506277,85.86956521739131,100.0,65.75342465753424,1.7857142857142856,59.79349526000127,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Current retailer stock is low | This area has not been visited recently
RTL_01236,TER_0155,Madhya Pradesh,Indore,Indore_T041,41.84100418410041,78.125,100.0,46.23287671232877,7.142857142857142,59.73276847636515,High,Cruiser 350 FS,Visit retailer urgently and discuss restocking of Cruiser 350 FS.,Current retailer stock is low | This area has not been visited recently
RTL_02632,TER_0333,Uttar Pradesh,Varanasi,Varanasi_T115,25.523012552301257,92.66304347826087,100.0,54.109589041095894,3.571428571428571,59.296245848562826,High,Axial 50 EC,Visit retailer urgently and discuss restocking of Axial 50 EC.,Current retailer stock is low | This area has not been visited recently
RTL_01655,TER_0209,Madhya Pradesh,Sehore,Sehore_T062,36.68061366806137,87.5,77.35849056603774,66.78082191780823,3.571428571428571,58.72514835844005,High,Alto 5 SC,Visit retailer urgently and discuss restocking of Alto 5 SC.,Current retailer stock is low | This area has not been visited recently
RTL_02429,TER_0307,Rajasthan,Sikar,Sikar_T096,31.101813110181308,88.45108695652173,100.0,45.54794520547945,3.571428571428571,58.63265031014959,High,Vertimec 1.8 EC,Visit retailer urgently and discuss restocking of Vertimec 1.8 EC.,Current retailer stock is low | This area has not been visited recently
RTL_00330,TER_0043,Rajasthan,Sikar,Sikar_T011,24.407252440725244,79.61956521739131,100.0,33.56164383561644,63.09523809523808,58.570837421431676,High,Vertimec 1.8 EC,Visit retailer urgently and discuss restocking of Vertimec 1.8 EC.,Current retailer stock is low | This area has not been visited recently
RTL_01141,TER_0143,Madhya Pradesh,Sehore,Sehore_T042,29.14923291492329,86.54891304347827,100.0,51.02739726027398,3.571428571428571,58.3932505815305,High,Alto 5 SC,Visit retailer urgently and discuss restocking of Alto 5 SC.,Current retailer stock is low | This area has not been visited recently
RTL_00813,TER_0103,Rajasthan,Bharatpur,Bharatpur_T037,44.07252440725244,80.70652173913044,100.0,31.506849315068493,1.7857142857142856,58.30298658279005,High,Axial 50 EC,Visit retailer urgently and discuss restocking of Axial 50 EC.,Current retailer stock is low | This area has not been visited recently
RTL_01031,TER_0130,Gujarat,Mehsana,Mehsana_T037,26.499302649930268,91.57608695652173,100.0,46.917808219178085,3.571428571428571,58.23862662412908,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Current retailer stock is low | This area has not been visited recently
RTL_02624,TER_0332,Haryana,Hisar,Hisar_T097,29.428172942817294,73.3695652173913,100.0,69.86301369863014,5.357142857142857,58.18600952770182,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Current retailer stock is low | This area has not been visited recently
RTL_02388,TER_0301,Rajasthan,Bharatpur,Bharatpur_T103,22.03626220362622,75.0,100.0,50.68493150684932,51.78571428571429,58.14218981568669,High,Axial 50 EC,Visit retailer urgently and discuss restocking of Axial 50 EC.,Current retailer stock is low | This area has not been visited recently
RTL_02584,TER_0327,Uttar Pradesh,Meerut,Meerut_T096,29.428172942817294,90.21739130434783,81.13207547169812,67.8082191780822,3.571428571428571,58.137590537126954,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Current retailer stock is low | This area has not been visited recently
RTL_02566,TER_0325,Bihar,Muzaffarpur,Muzaffarpur_T093,23.570432357043238,92.3913043478261,100.0,52.73972602739726,0.0,58.07991469817908,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently
RTL_02966,TER_0376,Uttar Pradesh,Agra,Agra_T112,30.264993026499305,72.55434782608695,100.0,67.46575342465754,7.142857142857142,58.05223359245587,High,Topik 15 WP,Visit retailer urgently and discuss restocking of Topik 15 WP.,Current retailer stock is low | This area has not been visited recently
RTL_01360,TER_0171,Uttar Pradesh,Lucknow,Lucknow_T065,31.520223152022314,94.70108695652173,92.45283018867924,40.41095890410959,3.571428571428571,58.04069141523227,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Current retailer stock is low | This area has not been visited recently
RTL_03973,TER_0497,Haryana,Hisar,Hisar_T146,37.37796373779637,74.32065217391305,100.0,54.794520547945204,0.0,58.01273024700895,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently
RTL_00376,TER_0048,Maharashtra,Akola,Akola_T026,21.199442119944212,93.75,100.0,52.054794520547944,1.7857142857142856,57.78412324263689,High,Topik 15 WP,Visit retailer urgently and discuss restocking of Topik 15 WP.,Current retailer stock is low | This area has not been visited recently
RTL_00640,TER_0082,Haryana,Sirsa,Sirsa_T024,26.220362622036262,78.66847826086956,100.0,62.328767123287676,7.142857142857142,57.59682913460714,High,Score 250 EC,Visit retailer urgently and discuss restocking of Score 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_01530,TER_0193,Bihar,Muzaffarpur,Muzaffarpur_T062,24.407252440725244,96.875,100.0,37.67123287671233,3.571428571428571,57.54875352086728,High,Movondo,Visit retailer urgently and discuss restocking of Movondo.,Current retailer stock is low | This area has not been visited recently
RTL_00098,TER_0014,West Bengal,Bardhaman,Bardhaman_T003,43.65411436541143,72.96195652173913,88.67924528301887,53.42465753424658,3.571428571428571,57.443413983941824,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Current retailer stock is low | This area has not been visited recently
RTL_02627,TER_0333,Uttar Pradesh,Varanasi,Varanasi_T116,27.754532775453278,91.44021739130434,100.0,38.35616438356164,3.571428571428571,57.296981695139166,High,Vertimec 1.8 EC,Visit retailer urgently and discuss restocking of Vertimec 1.8 EC.,Current retailer stock is low | This area has not been visited recently
RTL_03468,TER_0435,Uttar Pradesh,Lucknow,Lucknow_T140,23.570432357043238,95.5163043478261,100.0,41.0958904109589,1.7857142857142856,57.29316078428476,High,Score 250 EC,Visit retailer urgently and discuss restocking of Score 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_00301,TER_0039,Uttar Pradesh,Lucknow,Lucknow_T012,22.594142259414227,96.73913043478261,100.0,39.38356164383562,3.571428571428571,57.22770239023812,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently
RTL_03092,TER_0392,Karnataka,Vijayapura,Vijayapura_T118,27.05718270571827,91.03260869565217,100.0,41.0958904109589,0.0,57.039690547272365,High,Vertimec 1.8 EC,Visit retailer urgently and discuss restocking of Vertimec 1.8 EC.,Current retailer stock is low | This area has not been visited recently
RTL_00524,TER_0068,Haryana,Hisar,Hisar_T032,15.341701534170154,74.59239130434783,100.0,30.82191780821918,91.07142857142857,56.98103881471374,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently | Nearby grower engagement is high
RTL_00755,TER_0095,Karnataka,Vijayapura,Vijayapura_T026,26.778242677824267,86.68478260869566,100.0,46.23287671232877,1.7857142857142856,56.81817139094194,High,Alto 5 SC,Visit retailer urgently and discuss restocking of Alto 5 SC.,Current retailer stock is low | This area has not been visited recently
RTL_02889,TER_0367,Rajasthan,Bharatpur,Bharatpur_T130,24.965132496513252,91.71195652173913,100.0,39.04109589041096,3.571428571428571,56.63083612009325,High,Kavach 75 WP,Visit retailer urgently and discuss restocking of Kavach 75 WP.,Current retailer stock is low | This area has not been visited recently
RTL_03921,TER_0490,Bihar,Muzaffarpur,Muzaffarpur_T150,18.828451882845187,69.83695652173913,100.0,29.10958904109589,91.07142857142857,56.58135590859558,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,This area has not been visited recently | Nearby grower engagement is high
RTL_03295,TER_0415,Karnataka,Kalaburagi,Kalaburagi_T119,18.410041841004183,95.5163043478261,100.0,45.20547945205479,3.571428571428571,56.54005341420885,High,Score 250 EC,Visit retailer urgently and discuss restocking of Score 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_01151,TER_0144,Gujarat,Ahmedabad,Ahmedabad_T050,13.94700139470014,93.75,100.0,26.027397260273972,50.0,56.52571000745114,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Current retailer stock is low | This area has not been visited recently
RTL_00636,TER_0081,Maharashtra,Akola,Akola_T031,30.962343096234306,72.55434782608695,100.0,52.054794520547944,10.714285714285714,56.30693763490279,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Current retailer stock is low | This area has not been visited recently
RTL_01585,TER_0199,Bihar,Patna,Patna_T077,25.383542538354252,83.28804347826087,100.0,52.3972602739726,0.0,56.29666267216738,High,Kavach 75 WP,Visit retailer urgently and discuss restocking of Kavach 75 WP.,Current retailer stock is low | This area has not been visited recently
RTL_02269,TER_0286,Punjab,Bathinda,Bathinda_T095,25.10460251046025,70.3804347826087,100.0,31.164383561643838,64.88095238095238,56.28924222113207,High,Axial 50 EC,Visit retailer urgently and discuss restocking of Axial 50 EC.,Current retailer stock is low | This area has not been visited recently
RTL_00533,TER_0068,Haryana,Hisar,Hisar_T025,18.410041841004183,90.35326086956522,100.0,12.32876712328767,63.09523809523808,56.270166647709516,High,Vertimec 1.8 EC,Visit retailer urgently and discuss restocking of Vertimec 1.8 EC.,Current retailer stock is low | This area has not been visited recently
RTL_01735,TER_0219,Madhya Pradesh,Ujjain,Ujjain_T077,10.739191073919107,87.63586956521739,100.0,21.575342465753426,78.57142857142857,56.22416894048595,High,Vibrance Integral,Visit retailer urgently and discuss restocking of Vibrance Integral.,Current retailer stock is low | This area has not been visited recently | Nearby grower engagement is high
RTL_02626,TER_0333,Uttar Pradesh,Varanasi,Varanasi_T114,21.896792189679218,90.35326086956522,100.0,43.15068493150685,3.571428571428571,55.987098471163954,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently
RTL_00927,TER_0116,Maharashtra,Amravati,Amravati_T040,30.543933054393307,91.44021739130434,92.45283018867924,36.3013698630137,0.0,55.95900578133198,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Current retailer stock is low | This area has not been visited recently
RTL_02174,TER_0275,Madhya Pradesh,Sehore,Sehore_T080,30.683403068340308,85.32608695652173,100.0,35.95890410958904,0.0,55.93037827607088,High,Kavach 75 WP,Visit retailer urgently and discuss restocking of Kavach 75 WP.,Current retailer stock is low | This area has not been visited recently
RTL_02202,TER_0278,West Bengal,Bardhaman,Bardhaman_T092,25.24407252440725,77.03804347826087,100.0,58.21917808219178,3.571428571428571,55.92275219635901,High,Cruiser 350 FS,Visit retailer urgently and discuss restocking of Cruiser 350 FS.,Current retailer stock is low | This area has not been visited recently
RTL_01457,TER_0183,Punjab,Ludhiana,Ludhiana_T048,19.107391910739192,93.88586956521739,100.0,40.75342465753425,5.357142857142857,55.85241294887052,High,Score 250 EC,Visit retailer urgently and discuss restocking of Score 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_02505,TER_0316,Karnataka,Kalaburagi,Kalaburagi_T085,26.917712691771268,72.14673913043478,100.0,63.6986301369863,1.7857142857142856,55.84536453925945,High,Score 250 EC,Visit retailer urgently and discuss restocking of Score 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_00371,TER_0048,Maharashtra,Akola,Akola_T027,31.938633193863318,74.18478260869566,100.0,48.63013698630137,3.571428571428571,55.779449015420965,High,Tilt 250 EC,Visit retailer urgently and discuss restocking of Tilt 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_01874,TER_0236,Maharashtra,Jalgaon,Jalgaon_T077,21.338912133891213,88.99456521739131,100.0,45.89041095890411,1.7857142857142856,55.71244801692224,High,Tilt 250 EC,Visit retailer urgently and discuss restocking of Tilt 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_02764,TER_0350,Rajasthan,Jaipur,Jaipur_T102,12.273361227336123,82.47282608695653,100.0,12.32876712328767,94.64285714285714,55.61381567271883,High,Topik 15 WP,Visit retailer urgently and discuss restocking of Topik 15 WP.,Current retailer stock is low | This area has not been visited recently | Nearby grower engagement is high
RTL_03954,TER_0494,Punjab,Amritsar,Amritsar_T148,30.822873082287312,73.3695652173913,100.0,46.57534246575342,8.928571428571429,55.468411741754174,High,Kavach 75 WP,Visit retailer urgently and discuss restocking of Kavach 75 WP.,Current retailer stock is low | This area has not been visited recently
RTL_03055,TER_0387,Gujarat,Rajkot,Rajkot_T091,25.383542538354252,80.02717391304347,98.11320754716981,54.794520547945204,0.0,55.463675831392884,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently
RTL_01898,TER_0238,Madhya Pradesh,Ratlam,Ratlam_T074,23.430962343096233,91.03260869565217,100.0,34.93150684931507,3.571428571428571,55.38430976138203,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Current retailer stock is low | This area has not been visited recently
RTL_01450,TER_0182,Maharashtra,Amravati,Amravati_T060,26.220362622036262,82.88043478260869,100.0,43.83561643835616,1.7857142857142856,55.340131376587905,High,Score 250 EC,Visit retailer urgently and discuss restocking of Score 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_01459,TER_0183,Punjab,Ludhiana,Ludhiana_T048,22.17573221757322,85.7336956521739,100.0,43.49315068493151,5.357142857142857,55.14583046676945,High,Score 250 EC,Visit retailer urgently and discuss restocking of Score 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_01635,TER_0206,Rajasthan,Bikaner,Bikaner_T062,25.94142259414226,85.05434782608695,100.0,39.38356164383562,1.7857142857142856,55.13211940991119,High,Score 250 EC,Visit retailer urgently and discuss restocking of Score 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_00303,TER_0040,Madhya Pradesh,Ratlam,Ratlam_T013,13.110181311018131,91.16847826086956,100.0,27.397260273972602,42.857142857142854,55.120477285333,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently
RTL_01971,TER_0249,Punjab,Ludhiana,Ludhiana_T067,39.05160390516039,80.57065217391305,64.15094339622641,67.8082191780822,1.7857142857142856,55.03813719955542,High,Vibrance Integral,Visit retailer urgently and discuss restocking of Vibrance Integral.,Current retailer stock is low
RTL_02563,TER_0324,Haryana,Karnal,Karnal_T100,33.054393305439326,78.80434782608695,71.69811320754717,72.6027397260274,1.7857142857142856,55.026009977138514,High,Axial 50 EC,Visit retailer urgently and discuss restocking of Axial 50 EC.,Current retailer stock is low | This area has not been visited recently | Recommended product has strong recent demand
RTL_01148,TER_0144,Gujarat,Ahmedabad,Ahmedabad_T046,26.917712691771268,77.03804347826087,100.0,48.28767123287671,3.571428571428571,54.93511821917096,High,Cruiser 350 FS,Visit retailer urgently and discuss restocking of Cruiser 350 FS.,Current retailer stock is low | This area has not been visited recently
RTL_01240,TER_0155,Madhya Pradesh,Indore,Indore_T044,15.899581589958158,96.60326086956522,100.0,39.04109589041096,0.0,54.77685407794039,High,Movondo,Visit retailer urgently and discuss restocking of Movondo.,Current retailer stock is low | This area has not been visited recently
RTL_01289,TER_0163,Gujarat,Mehsana,Mehsana_T039,21.05997210599721,91.16847826086956,100.0,37.67123287671233,0.0,54.7607961285234,High,Topik 15 WP,Visit retailer urgently and discuss restocking of Topik 15 WP.,Current retailer stock is low | This area has not been visited recently
RTL_03967,TER_0496,Bihar,Patna,Patna_T165,35.98326359832636,82.6086956521739,77.35849056603774,51.71232876712328,0.0,54.67570042081743,High,Kavach 75 WP,Visit retailer urgently and discuss restocking of Kavach 75 WP.,Current retailer stock is low | This area has not been visited recently
RTL_02017,TER_0255,Gujarat,Rajkot,Rajkot_T064,36.82008368200837,87.77173913043478,47.16981132075472,78.08219178082192,5.357142857142857,54.670965204199724,High,Vertimec 1.8 EC,Visit retailer urgently and discuss restocking of Vertimec 1.8 EC.,Current retailer stock is low | Recommended product has strong recent demand
RTL_00081,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T010,10.599721059972106,91.30434782608695,100.0,24.315068493150687,50.0,54.653263548485974,High,Vertimec 1.8 EC,Visit retailer urgently and discuss restocking of Vertimec 1.8 EC.,Current retailer stock is low | This area has not been visited recently
RTL_03748,TER_0471,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T151,35.843793584379355,66.16847826086956,100.0,48.97260273972603,0.0,54.6411480514901,High,Score 250 EC,Visit retailer urgently and discuss restocking of Score 250 EC.,This area has not been visited recently
RTL_01954,TER_0247,Haryana,Sirsa,Sirsa_T071,33.33333333333333,77.30978260869566,77.35849056603774,63.013698630136986,3.571428571428571,54.60834141704487,High,Vibrance Integral,Visit retailer urgently and discuss restocking of Vibrance Integral.,Current retailer stock is low | This area has not been visited recently
RTL_01357,TER_0171,Uttar Pradesh,Lucknow,Lucknow_T067,2.510460251046025,96.875,100.0,3.4246575342465753,91.07142857142857,54.59272956259365,High,Vibrance Integral,Visit retailer urgently and discuss restocking of Vibrance Integral.,Current retailer stock is low | This area has not been visited recently | Nearby grower engagement is high
RTL_01386,TER_0174,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T068,26.499302649930268,91.03260869565217,92.45283018867924,31.506849315068493,5.357142857142857,54.46025068960253,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently
RTL_02641,TER_0334,Rajasthan,Bharatpur,Bharatpur_T118,14.086471408647142,86.95652173913044,86.79245283018868,30.82191780821918,64.88095238095238,54.4349453327426,High,Tilt 250 EC,Visit retailer urgently and discuss restocking of Tilt 250 EC.,Current retailer stock is low | This area has not been visited recently
RTL_01852,TER_0233,Haryana,Hisar,Hisar_T075,28.591352859135288,82.88043478260869,96.22641509433963,39.04109589041096,0.0,54.39896195582232,High,Topik 15 WP,Visit retailer urgently and discuss restocking of Topik 15 WP.,Current retailer stock is low | This area has not been visited recently
RTL_03757,TER_0472,Rajasthan,Sikar,Sikar_T151,29.707112970711297,66.71195652173913,60.37735849056604,48.97260273972603,92.85714285714286,54.29719941643456,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Nearby grower engagement is high
RTL_03728,TER_0469,Madhya Pradesh,Ratlam,Ratlam_T151,57.04323570432357,74.86413043478261,58.490566037735846,43.83561643835616,1.7857142857142856,54.28103042186474,High,Topik 15 WP,Visit retailer urgently and discuss restocking of Topik 15 WP.,Current retailer stock is low
RTL_00048,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T004,31.241283124128312,74.86413043478261,84.90566037735849,57.534246575342465,5.357142857142857,54.23540089342149,High,Topik 15 WP,Visit retailer urgently and discuss restocking of Topik 15 WP.,Current retailer stock is low | This area has not been visited recently
RTL_02913,TER_0370,Madhya Pradesh,Ratlam,Ratlam_T114,23.01255230125523,76.3586956521739,100.0,53.42465753424658,1.7857142857142856,54.18570966212846,High,Cruiser 350 FS,Visit retailer urgently and discuss restocking of Cruiser 350 FS.,Current retailer stock is low | This area has not been visited recently
RTL_03557,TER_0448,Karnataka,Kalaburagi,Kalaburagi_T122,2.928870292887029,94.15760869565217,100.0,3.0821917808219177,92.85714285714286,54.16610631461673,High,Movondo,Visit retailer urgently and discuss restocking of Movondo.,Current retailer stock is low | This area has not been visited recently | Nearby grower engagement is high
RTL_02518,TER_0318,Madhya Pradesh,Ujjain,Ujjain_T106,11.157601115760112,91.44021739130434,100.0,19.52054794520548,50.0,54.13541687433494,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently
RTL_02236,TER_0282,Punjab,Ludhiana,Ludhiana_T072,4.323570432357044,92.66304347826087,100.0,10.273972602739725,80.35714285714286,54.039642175397574,High,Axial 50 EC,Visit retailer urgently and discuss restocking of Axial 50 EC.,Current retailer stock is low | This area has not been visited recently | Nearby grower engagement is high
RTL_00266,TER_0035,Haryana,Hisar,Hisar_T019,27.754532775453278,96.33152173913044,73.58490566037736,42.465753424657535,5.357142857142857,54.03179869890699,High,Vertimec 1.8 EC,Visit retailer urgently and discuss restocking of Vertimec 1.8 EC.,Current retailer stock is low | This area has not been visited recently
RTL_03576,TER_0450,Madhya Pradesh,Ujjain,Ujjain_T146,20.2231520223152,86.54891304347827,100.0,41.78082191780822,0.0,53.971297155235355,High,Kavach 75 WP,Visit retailer urgently and discuss restocking of Kavach 75 WP.,Current retailer stock is low | This area has not been visited recently
RTL_00509,TER_0065,Punjab,Amritsar,Amritsar_T018,16.736401673640167,80.16304347826087,100.0,16.095890410958905,64.88095238095238,53.96416017139635,High,Vertimec 1.8 EC,Visit retailer urgently and discuss restocking of Vertimec 1.8 EC.,Current retailer stock is low | This area has not been visited recently
RTL_00299,TER_0039,Uttar Pradesh,Lucknow,Lucknow_T021,16.457461645746164,91.84782608695652,100.0,35.61643835616438,7.142857142857142,53.95594648317335,High,Kavach 75 WP,Visit retailer urgently and discuss restocking of Kavach 75 WP.,Current retailer stock is low | This area has not been visited recently
RTL_02777,TER_0353,Madhya Pradesh,Indore,Indore_T101,13.94700139470014,80.02717391304347,100.0,30.136986301369863,51.78571428571429,53.89001327044782,High,Alto 5 SC,Visit retailer urgently and discuss restocking of Alto 5 SC.,Current retailer stock is low | This area has not been visited recently
